Aardonyx, Africa, 195, Sauropod-prosauropod, https://en.wikipedia.org/wiki/Aardonyx
Abelisaurus, S-America, 80, Therapod-abelisaur, https://en.wikipedia.org/wiki/Abelisaurus
Abrictosaurus, Africa, 200, Ornithopod, https://en.wikipedia.org/wiki/Abrictosaurus 
Abydosaurus, N-America, 105, Sauropod, https://en.wikipedia.org/wiki/Abydosaurus 
Achelousaurus, N-America, 75, Ceratopsian, https://en.wikipedia.org/wiki/Achelousaurus
Acristavus, N-America, 80, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Acristavus
Acrocanthosaurus, N-America, 115, Therapod-carnosaur, https://en.wikipedia.org/wiki/Acrocanthosaurus 
Adasaurus, E-Asia, 70, Therapod-raptor, https://en.wikipedia.org/wiki/Adasaurus
Aerosteon, S-America, 85, Therapod, https://en.wikipedia.org/wiki/Aerosteon
Afrovenator, Africa, 150, Therapod, https://en.wikipedia.org/wiki/Afrovenator
Agilisaurus, E-Asia, 165, Ornithopod, https://en.wikipedia.org/wiki/Agilisaurus
Alamosaurus, N-America, 70, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Alamosaurus
Alectrosaurus, E-Asia, 75, Therapod-tyrannosaur, https://en.wikipedia.org/wiki/Alectrosaurus
Allosaurus, N-America, 155, Therapod-carnosaur, https://en.wikipedia.org/wiki/Allosaurus
Ankylosaurus, N-America, 65, Ankylosaur, https://en.wikipedia.org/wiki/Ankylosaurus
Amargasaurus, S-America, 110, Sauropod, https://en.wikipedia.org/wiki/Amargasaurus
Apatosaurus, N-America, 155, Sauropod, https://en.wikipedia.org/wiki/Apatosaurus 
Argentinosaurus, S-America, 95, Sauropod, https://en.wikipedia.org/wiki/Argentinosaurus
Aristosuchus, Europe, 125, Therapod, https://en.wikipedia.org/wiki/Aristosuchus
Australovenator, Australia, 95, Therapod, https://en.wikipedia.org/wiki/Australovenator
Avaceratops, N-America, 75, Ceratopsian, https://en.wikipedia.org/wiki/Avaceratops
Bactrosaurus, E-Asia, 70, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Bactrosaurus
Bagaceratops, E-Asia, 80, Ceratopsian, https://en.wikipedia.org/wiki/Bagaceratops 
Barapasaurus, E-Asia, 190, Sauropod, https://en.wikipedia.org/wiki/Barapasaurus
Barosaurus, N-America, 150, Sauropod, https://en.wikipedia.org/wiki/Barosaurus
Baryonyx, Europe, 125, Therapod, https://en.wikipedia.org/wiki/Baryonyx
Baurutitan, S-America, 70, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Baurutitan
Becklespinax, Europe, 135, Therapod, https://en.wikipedia.org/wiki/Becklespinax
Bellusaurus, E-Asia, 170, Sauropod, https://en.wikipedia.org/wiki/Bellusaurus
Bolong, E-Asia, 125, Ornithopod, https://en.wikipedia.org/wiki/Bolong
Bonatitan, S-America, 75, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Bonatitan
Bonapartesaurus, S-America, 75, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Bonapartesaurus
Borogovia, E-Asia, 70, Therapod, https://en.wikipedia.org/wiki/Borogovia
Brachiosaurus, N-America, 155, Sauropod, https://en.wikipedia.org/wiki/Brachiosaurus
Brachyceratops, N-America, 75, Ceratopsian, https://en.wikipedia.org/wiki/Brachyceratops
Brachylophosaurus, N-America, 75, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Brachylophosaurus
Brachytrachelopan, S-America, 155, Sauropod, https://en.wikipedia.org/wiki/Brachytrachelopan
Bravoceratops, N-America, 70, Ceratopsian, https://en.wikipedia.org/wiki/Bravoceratops
Buitreraptor, S-America, 95, Therapod-raptor, https://en.wikipedia.org/wiki/Buitreraptor
Camarasaurus, N-America, 155, Sauropod, https://en.wikipedia.org/wiki/Camarasaurus
Camelotia, Europe, 200, Sauropod, https://en.wikipedia.org/wiki/Camelotia
Camptosaurus, N-America, 155, Ornithopod, https://en.wikipedia.org/wiki/Camptosaurus
Canardia, Europe, 65, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Canardia
Carcharodontosaurus, Africa, 95, Therapod-carnosaur, https://en.wikipedia.org/wiki/Carcharodontosaurus
Carnotaurus, S-America, 70, Therapod-abelisaur, https://en.wikipedia.org/wiki/Carnotaurus
Cathetosaurus, N-America, 150, Sauropod, https://en.wikipedia.org/wiki/Cathetosaurus
Cedarosaurus, N-America, 125, Sauropod, https://en.wikipedia.org/wiki/Cedarosaurus
Centrosaurus, N-America, 75, Ceratopsian, https://en.wikipedia.org/wiki/Centrosaurus
Ceratosaurus, N-America, 150, Therapod-abelisaur, https://en.wikipedia.org/wiki/Ceratosaurus
Cetiosaurus, Europe, 165, Sauropod, https://en.wikipedia.org/wiki/Cetiosaurus
Charonosaurus, E-Asia, 65, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Charonosaurus
Chasmosaurus, N-America, 75, Ceratopsian, https://en.wikipedia.org/wiki/Chasmosaurus
Chebsaurus, Africa, 155, Sauropod, https://en.wikipedia.org/wiki/Chebsaurus
Chilantaisaurus, E-Asia, 90, Therapod-carnosaur, https://en.wikipedia.org/wiki/Chilantaisaurus
Chilesaurus, S-America, 145, Therapod, https://en.wikipedia.org/wiki/Chilesaurus
Chindesaurus, N-America, 225, Therapod, https://en.wikipedia.org/wiki/Chindesaurus
Coelophysis, N-America, 200, Therapod, https://en.wikipedia.org/wiki/Coelophysis
Coelurus, N-America, 150, Therapod, https://en.wikipedia.org/wiki/Coelurus
Compsognathus, Europe, 155, Therapod, https://en.wikipedia.org/wiki/Compsognathus
Concavenator, Europe, 130, Therapod, https://en.wikipedia.org/wiki/Concavenator
Corythosaurus, N-America, 75, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Corythosaurus
Daemonosaurus, N-America, 205, Therapod, https://en.wikipedia.org/wiki/Daemonosaurus
Dacentrurus, Europe, 155, Stegosaur, https://en.wikipedia.org/wiki/Dacentrurus
Dakotadon, N-America, 130, Ornithopod, https://en.wikipedia.org/wiki/Dakotadon
Dakotaraptor, N-America, 65, Therapod-raptor, https://en.wikipedia.org/wiki/Dakotaraptor
Daspletosaurus, N-America, 75, Therapod-tyrannosaur, https://en.wikipedia.org/wiki/Daspletosaurus
Deinonychus, N-America, 115, Therapod-raptor, https://en.wikipedia.org/wiki/Deinonychus
Deltadromeus, Africa, 95, Therapod, https://en.wikipedia.org/wiki/Deltadromeus
Dilophosaurus, N-America, 195, Therapod, https://en.wikipedia.org/wiki/Dilophosaurus
Diplodocus, N-America, 155, Sauropod, https://en.wikipedia.org/wiki/Diplodocus
Dracoraptor, Europe, 200, Therapod, https://en.wikipedia.org/wiki/Dracoraptor
Dreadnoughtus, S-America, 75, Sauropod, https://en.wikipedia.org/wiki/Dreadnoughtus
Dromaeosaurus, N-America, 75, Therapod-raptor, https://en.wikipedia.org/wiki/Dromaeosaurus
Edmontonia, N-America, 75, Ankylosaur, https://en.wikipedia.org/wiki/Edmontonia
Edmontosaurus, N-America, 65, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Edmontosaurus
Eotyrannus, Europe, 125, Therapod, https://en.wikipedia.org/wiki/Eotyrannus
Euoplocephalus, N-America, 75, Ankylosaur, https://en.wikipedia.org/wiki/Euoplocephalus
Europasaurus, Europe, 155, Sauropod, https://en.wikipedia.org/wiki/Europasaurus
Futalognkosaurus, S-America, 85, Sauropod-titanosaur, https://en.wikipedia.org/wiki/Futalognkosaurus
Gallimimus, E-Asia, 70, Therapod-mimic, https://en.wikipedia.org/wiki/Gallimimus
Gargoyleosaurus, N-America, 155, Ankylosaur, https://en.wikipedia.org/wiki/Gargoyleosaurus
Giganotosaurus, S-America, 95, Therapod-carnosaur, https://en.wikipedia.org/wiki/Giganotosaurus
Gigantspinosaurus, E-Asia, 160, Ankylosaur, https://en.wikipedia.org/wiki/Gigantspinosaurus
Giraffatitan, Africa, 150, Sauropod, https://en.wikipedia.org/wiki/Giraffatitan
Gobiceratops, E-Asia, 75, Ceratopsian, https://en.wikipedia.org/wiki/Gobiceratops
Gorgosaurus, N-America, 75, Therapod-tyrannosaur, https://en.wikipedia.org/wiki/Gorgosaurus
Gryposaurus, N-America, 80, Ornithopod-hadrosaur, https://en.wikipedia.org/wiki/Gryposaurus
Hesperosaurus, N-America, 155, Stegosaur, https://en.wikipedia.org/wiki/Hesperosaurus
